annee;heures_avec_T_et_U;heures_attendues;completude;heures_manquantes_pct;heures_humidex_defini;humidex_moyen;humidex_median;humidex_p95;humidex_max;date_max;temperature_moyenne;heures_sup30;heures_sup30_norm;heures_sup35;heures_sup35_norm;heures_sup40;heures_sup40_norm;heures_sup45;heures_sup45_norm;heures_30_35;heures_30_35_norm;heures_35_40;heures_35_40_norm;heures_40_45;heures_40_45_norm;heures_45_plus;heures_45_plus_norm;humidex_moyen_jour;humidex_max_jour;heures_jour_sup30;heures_jour_sup35;heures_jour_sup30_norm;heures_jour_sup35_norm;humidex_moyen_nuit;humidex_max_nuit;heures_nuit_sup30;heures_nuit_sup35;heures_nuit_sup30_norm;heures_nuit_sup35_norm;retenue
1998;8631;8760;0,985;1,473;2737;28,339;27,627;36,307;46,260;1998-07-10 18:00;15,773;809;821,100;203;206,000;19;19,300;1;1,000;606;615,100;184;186,800;18;18,300;1;1,000;29,582;44,230;474;134;481,100;136,000;26,210;37,420;72;6;73,200;6,100;True
1999;8658;8760;0,988;1,164;2708;28,566;27,782;36,629;48,615;1999-07-11 19:00;15,873;891;901,500;262;265,100;22;22,300;1;1,000;629;636,400;240;242,800;21;21,200;1;1,000;29,780;42,758;503;165;508,400;166,800;26,448;41,494;97;14;98,100;14,200;True
2000;8694;8784;0,990;1,025;2754;28,593;28,102;35,776;42,335;2000-07-04 17:00;15,866;927;936,600;200;202,100;12;12,100;0;0,000;727;734,500;188;189,900;12;12,100;0;0,000;29,932;42,335;548;138;554,200;139,600;26,309;36,017;83;3;83,700;3,000;True
2001;2848;8760;0,325;67,489;82;25,999;25,347;32,012;33,363;2001-04-22 15:00;10,472;11;33,800;0;0,000;0;0,000;0;0,000;11;33,800;0;0,000;0;0,000;0;0,000;26,813;33,363;9;0;27,700;0,000;23,422;25,268;0;0;0,000;0,000;False
2002;8653;8760;0,988;1,221;2796;28,560;27,962;36,074;42,864;2002-07-07 19:00;15,951;942;953,600;221;223,700;13;13,200;0;0,000;721;729,900;208;210,600;13;13,200;0;0,000;30,002;42,319;575;161;582,800;163,200;26,106;36,086;51;1;51,600;1,000;True
2003;8646;8760;0,987;1,301;2837;28,470;27,954;35,794;42,688;2003-07-31 17:00;16,033;945;957,500;210;212,800;12;12,200;0;0,000;735;744,700;198;200,600;12;12,200;0;0,000;29,869;42,688;561;148;569,000;150,100;26,107;35,729;83;2;84,100;2,000;True
2004;8679;8784;0,988;1,195;2848;28,564;27,811;36,552;46,448;2004-07-11 19:00;16,025;943;954,400;245;248,000;32;32,400;1;1,000;698;706,400;213;215,600;31;31,400;1;1,000;30,092;44,860;559;162;566,000;164,000;26,070;42,688;77;10;77,700;10,100;True
2005;8647;8760;0,987;1,290;2841;28,739;28,117;36,308;43,731;2005-06-15 14:00;16,121;970;982,700;223;225,900;33;33,400;0;0,000;747;756,800;190;192,500;33;33,400;0;0,000;30,358;43,731;589;156;595,900;157,800;26,192;36,811;81;3;82,000;3,000;True
2006;8646;8760;0,987;1,301;2866;28,823;28,299;36,248;42,669;2006-08-12 15:00;16,165;1045;1058,800;245;248,200;14;14,200;0;0,000;800;810,500;231;234,000;14;14,200;0;0,000;30,326;42,669;619;176;627,600;178,400;26,604;38,019;98;3;99,400;3,000;True
2007;8649;8760;0,987;1,267;2858;28,948;28,290;36,754;47,802;2007-07-12 15:00;16,152;1046;1059,400;267;270,400;31;31,400;4;4,100;779;789,000;236;239,000;27;27,300;4;4,100;30,438;47,802;605;178;613,600;180,500;26,486;39,178;89;7;90,100;7,100;True
2008;8693;8784;0,990;1,036;2915;28,999;28,252;36,936;44,843;2008-07-29 16:00;16,202;1062;1073,100;302;305,200;35;35,400;0;0,000;760;768,000;267;269,800;35;35,400;0;0,000;30,417;44,843;617;203;625,100;205,700;26,716;41,024;99;9;99,800;9,100;True
2009;8651;8760;0,988;1,244;2978;28,950;28,259;36,711;44,329;2009-08-27 17:00;16,256;1091;1104,700;295;298,700;26;26,300;0;0,000;796;806,000;269;272,400;26;26,300;0;0,000;30,495;44,329;629;204;634,200;205,700;26,632;37,240;106;8;107,500;8,100;True
2010;8658;8760;0,988;1,164;2996;28,786;28,137;36,428;43,978;2010-06-30 18:00;16,320;1059;1071,500;267;270,100;17;17,200;0;0,000;792;801,300;250;252,900;17;17,200;0;0,000;30,306;43,483;621;187;625,700;188,400;26,377;35,389;94;2;95,500;2,000;True
2011;8657;8760;0,988;1,176;2870;29,303;28,782;37,343;48,102;2011-07-14 15:00;16,341;1127;1140,400;339;343,000;46;46,500;3;3,000;788;797,400;293;296,500;43;43,500;3;3,000;30,649;48,102;626;225;633,800;227,800;26,992;41,448;137;18;138,700;18,200;True
2012;8665;8784;0,986;1,355;2968;29,181;28,400;37,434;49,180;2012-07-05 16:00;16,363;1111;1126,300;327;331,500;63;63,900;9;9,100;784;794,800;264;267,600;54;54,700;9;9,100;30,701;49,180;635;215;645,800;218,700;26,793;37,918;116;14;117,100;14,100;True
